,input length,total online time for ideal,average time per event for ideal,clean #,total online time for BME(T1),total time clean(T2),T1-T2
0,10,2.0017623901367186e-05,2.0017623901367185e-06,0,0.0,0.0,0.0
1,1000,0.0009500527381896973,9.500527381896973e-07,655,0.023892738819122315,0.022593567371368407,0.0012991714477539086
2,2000,0.0023668861389160157,1.183443069458008e-06,1311,0.049329655170440675,0.0463328766822815,0.0029967784881591783
3,3000,0.003368220329284668,1.122740109761556e-06,1980,0.07272060871124268,0.06847820997238159,0.004242398738861092
4,4000,0.005047640800476074,1.2619102001190186e-06,2613,0.10116850614547729,0.09622686862945556,0.004941637516021724
5,5000,0.006227710247039795,1.245542049407959e-06,3288,0.1280697250366211,0.1200672459602356,0.008002479076385488
6,6000,0.007086517810821533,1.1810863018035888e-06,3955,0.14391155958175658,0.13709678649902343,0.00681477308273315
7,7000,0.007968196868896485,1.1383138384137834e-06,4606,0.16860821962356567,0.15920186758041383,0.00940635204315185
8,8000,0.01186405897140503,1.4830073714256287e-06,5277,0.2311664080619812,0.2182018566131592,0.012964551448821998
9,9000,0.011621270179748535,1.2912522421942816e-06,5932,0.23422122240066529,0.22159935474395753,0.012621867656707753
10,10000,0.01595442771911621,1.5954427719116212e-06,6590,0.3385954976081848,0.3210374569892883,0.017558040618896487
