Enforcer,Input Size,Average Time (s)
LE_Monolithic,100,0.0011896371841430664
LE_Monolithic,1000,0.013989853858947753
LE_Monolithic,2000,0.028841352462768553
LE_Monolithic,3000,0.04167962074279785
LE_Monolithic,4000,0.05326966047286987
LE_Monolithic,5000,0.06573259830474854
LE_Monolithic,6000,0.07980118989944458
LE_Monolithic,7000,0.09243608713150024
LE_Monolithic,8000,0.10396436452865601
LE_Monolithic,9000,0.12157232761383056
LE_Monolithic,10000,0.12847940921783446
LE_Parallel,100,0.0007778048515319824
LE_Parallel,1000,0.0023920893669128417
LE_Parallel,2000,0.00556102991104126
LE_Parallel,3000,0.007366275787353516
LE_Parallel,4000,0.010144472122192383
LE_Parallel,5000,0.013804018497467041
LE_Parallel,6000,0.014283585548400878
LE_Parallel,7000,0.01821427345275879
LE_Parallel,8000,0.020376670360565185
LE_Parallel,9000,0.022287142276763917
LE_Parallel,10000,0.023578083515167235
Strict_Monolithic,100,0.0002876639366149902
Strict_Monolithic,1000,0.006805598735809326
Strict_Monolithic,2000,0.00813450813293457
Strict_Monolithic,3000,0.012878179550170898
Strict_Monolithic,4000,0.016491293907165527
Strict_Monolithic,5000,0.02403988838195801
Strict_Monolithic,6000,0.0268335223197937
Strict_Monolithic,7000,0.03123704195022583
Strict_Monolithic,8000,0.035295653343200686
Strict_Monolithic,9000,0.039979946613311765
Strict_Monolithic,10000,0.04358131885528564
Strict_Serial,100,0.0
Strict_Serial,1000,0.033380317687988284
Strict_Serial,2000,0.1350015163421631
Strict_Serial,3000,0.30332441329956056
Strict_Serial,4000,0.5374582529067993
Strict_Serial,5000,0.832886528968811
Strict_Serial,6000,1.2061973929405212
Strict_Serial,7000,1.6323706030845642
Strict_Serial,8000,2.1423668384552004
Strict_Serial,9000,2.7025930404663088
Strict_Serial,10000,3.3373276710510256
Strict_Parallel,100,0.0
Strict_Parallel,1000,0.0013083338737487793
Strict_Parallel,2000,0.002246594429016113
Strict_Parallel,3000,0.003584003448486328
Strict_Parallel,4000,0.004604661464691162
Strict_Parallel,5000,0.0034488558769226072
Strict_Parallel,6000,0.006372213363647461
Strict_Parallel,7000,0.007943332195281982
Strict_Parallel,8000,0.008115100860595702
Strict_Parallel,9000,0.00891716480255127
Strict_Parallel,10000,0.009575235843658447
Exclusive_Monolithic,100,0.0009500026702880859
Exclusive_Monolithic,1000,0.009999358654022216
Exclusive_Monolithic,2000,0.019897770881652833
Exclusive_Monolithic,3000,0.029441022872924806
Exclusive_Monolithic,4000,0.0385756254196167
Exclusive_Monolithic,5000,0.049203014373779295
Exclusive_Monolithic,6000,0.058132386207580565
Exclusive_Monolithic,7000,0.06833148002624512
Exclusive_Monolithic,8000,0.07699445486068726
Exclusive_Monolithic,9000,0.08833003044128418
Exclusive_Monolithic,10000,0.09800610542297364
Exclusive_Parallel,100,0.001888275146484375
Exclusive_Parallel,1000,0.018672335147857665
Exclusive_Parallel,2000,0.03755650520324707
Exclusive_Parallel,3000,0.05536041259765625
Exclusive_Parallel,4000,0.07490564584732055
Exclusive_Parallel,5000,0.09343467950820923
Exclusive_Parallel,6000,0.1108635663986206
Exclusive_Parallel,7000,0.12943406105041505
Exclusive_Parallel,8000,0.1494074583053589
Exclusive_Parallel,9000,0.2832202672958374
Exclusive_Parallel,10000,0.2885861396789551
