Enforcer,Input Size,Average Time (s)
LE_Monolithic,100,0.0017360568046569825
LE_Monolithic,1000,0.01248704195022583
LE_Monolithic,2000,0.02603684663772583
LE_Monolithic,3000,0.041064870357513425
LE_Monolithic,4000,0.05193250179290772
LE_Monolithic,5000,0.06442818641662598
LE_Monolithic,6000,0.07953579425811767
LE_Monolithic,7000,0.09271855354309082
LE_Monolithic,8000,0.10736089944839478
LE_Monolithic,9000,0.11842111349105836
LE_Monolithic,10000,0.1324910044670105
LE_Parallel,100,0.00021842718124389648
LE_Parallel,1000,0.0026031255722045897
LE_Parallel,2000,0.005142688751220703
LE_Parallel,3000,0.0073151707649230955
LE_Parallel,4000,0.009998011589050292
LE_Parallel,5000,0.01208587884902954
LE_Parallel,6000,0.015535092353820801
LE_Parallel,7000,0.017095232009887697
LE_Parallel,8000,0.019874215126037598
LE_Parallel,9000,0.02322695255279541
LE_Parallel,10000,0.023922765254974367
Strict_Monolithic,100,4.998445510864258e-05
Strict_Monolithic,1000,0.0024138450622558593
Strict_Monolithic,2000,0.00979849100112915
Strict_Monolithic,3000,0.014550244808197022
Strict_Monolithic,4000,0.015492570400238038
Strict_Monolithic,5000,0.022195887565612794
Strict_Monolithic,6000,0.02651907205581665
Strict_Monolithic,7000,0.03216073513031006
Strict_Monolithic,8000,0.036801934242248535
Strict_Monolithic,9000,0.04078512191772461
Strict_Monolithic,10000,0.047643530368804934
Strict_Serial,100,0.0010858893394470215
Strict_Serial,1000,0.03483270406723023
Strict_Serial,2000,0.13779768943786622
Strict_Serial,3000,0.31063610315322876
Strict_Serial,4000,0.5467753410339355
Strict_Serial,5000,0.8333955645561218
Strict_Serial,6000,1.2340847492218017
Strict_Serial,7000,1.6328379034996032
Strict_Serial,8000,2.132194256782532
Strict_Serial,9000,2.7008630275726317
Strict_Serial,10000,3.337338614463806
Strict_Parallel,100,0.0001788496971130371
Strict_Parallel,1000,0.0009429812431335449
Strict_Parallel,2000,0.0023972153663635253
Strict_Parallel,3000,0.002289307117462158
Strict_Parallel,4000,0.004520022869110107
Strict_Parallel,5000,0.0054207444190979
Strict_Parallel,6000,0.006393039226531982
Strict_Parallel,7000,0.006593966484069824
Strict_Parallel,8000,0.007549214363098145
Strict_Parallel,9000,0.010336017608642578
Strict_Parallel,10000,0.01093449592590332
Exclusive_Monolithic,100,0.00047641992568969727
Exclusive_Monolithic,1000,0.009617877006530762
Exclusive_Monolithic,2000,0.018986189365386964
Exclusive_Monolithic,3000,0.029407620429992676
Exclusive_Monolithic,4000,0.03888418674468994
Exclusive_Monolithic,5000,0.049603605270385744
Exclusive_Monolithic,6000,0.05752725601196289
Exclusive_Monolithic,7000,0.06783666610717773
Exclusive_Monolithic,8000,0.07614341974258423
Exclusive_Monolithic,9000,0.08680782318115235
Exclusive_Monolithic,10000,0.09622982740402222
Exclusive_Parallel,100,0.0013829708099365235
Exclusive_Parallel,1000,0.011829960346221923
Exclusive_Parallel,2000,0.02323664426803589
Exclusive_Parallel,3000,0.0362429141998291
Exclusive_Parallel,4000,0.04514641761779785
Exclusive_Parallel,5000,0.05970180034637451
Exclusive_Parallel,6000,0.07147911787033082
Exclusive_Parallel,7000,0.13223434686660768
Exclusive_Parallel,8000,0.11089582443237304
Exclusive_Parallel,9000,0.11111797094345092
Exclusive_Parallel,10000,0.12451765537261963
