Enforcer,Num_Properties,Input_Size,Total_Time (microseconds)
Strict_Monolithic,2,1000,5098.5000000000055
Strict_Monolithic,3,1000,6261.199999999994
Strict_Monolithic,4,1000,5081.399999999986
Strict_Monolithic,5,1000,5751.799999999974
Strict_Monolithic,6,1000,6481.3999999999705
Strict_Monolithic,7,1000,13932.200000000172
Strict_Monolithic,8,1000,8687.400000001233
Strict_Monolithic,9,1000,12845.19999998679
Strict_Monolithic,10,1000,12045.499999885578
Strict_Serial,2,1000,98341.50000006048
Strict_Serial,3,1000,71593.00000012081
Strict_Serial,4,1000,77901.39999997336
Strict_Serial,5,1000,77818.99999986308
Strict_Serial,6,1000,76005.50000006479
Strict_Serial,7,1000,66019.29999987988
Strict_Serial,8,1000,80016.50000005611
Strict_Serial,9,1000,75483.09999992853
Strict_Serial,10,1000,74710.8999999
Strict_Serial,11,1000,77542.60000001523
Strict_Serial,12,1000,71974.20000011334
Strict_Serial,13,1000,70245.99999999737
Strict_Serial,14,1000,78076.00000001003
Strict_Parallel,2,1000,1007.2000000036496
Strict_Parallel,3,1000,1346.7000001128326
Strict_Parallel,4,1000,1167.3999999857188
Strict_Parallel,5,1000,1294.7000000167463
Strict_Parallel,6,1000,1975.2999999127496
Strict_Parallel,7,1000,1806.299999998373
Strict_Parallel,8,1000,2193.0000000338623
Strict_Parallel,9,1000,2147.799999875133
Strict_Parallel,10,1000,3199.500000164335
Strict_Parallel,11,1000,5317.299999887837
Strict_Parallel,12,1000,5749.599999944621
Strict_Parallel,13,1000,3585.400000019945
Strict_Parallel,14,1000,3242.8999998046493
LE_Monolithic,2,1000,1075625.1999998768
LE_Monolithic,3,1000,1803471.2999999556
LE_Monolithic,4,1000,2128911.1999999476
LE_Monolithic,5,1000,2726759.099999981
LE_Monolithic,6,1000,2877571.499999931
LE_Parallel,2,1000,123124.59999998282
LE_Parallel,3,1000,172474.89999999743
LE_Parallel,4,1000,227856.59999999552
LE_Parallel,5,1000,288820.2999999976
LE_Parallel,6,1000,346743.10000013973
Exclusive_Monolithic,2,1000,4518.300000199815
Exclusive_Monolithic,3,1000,7084.200000008423
Exclusive_Monolithic,4,1000,8627.199999864388
Exclusive_Monolithic,5,1000,9712.79999998842
Exclusive_Monolithic,6,1000,10226.899999906891
Exclusive_Monolithic,7,1000,10690.700000168363
Exclusive_Monolithic,8,1000,12570.50000003801
Exclusive_Monolithic,9,1000,13231.39999999512
Exclusive_Monolithic,10,1000,33213.30000017042
Exclusive_Parallel,2,1000,11065.599999938058
Exclusive_Parallel,3,1000,14459.799999940515
Exclusive_Parallel,4,1000,17505.199999959586
Exclusive_Parallel,5,1000,33004.69999999223
Exclusive_Parallel,6,1000,35509.9999999311
Exclusive_Parallel,7,1000,38532.19999996327
Exclusive_Parallel,8,1000,65318.29999994443
Exclusive_Parallel,9,1000,42863.899999929345
Exclusive_Parallel,10,1000,62260.8000001037
Exclusive_Parallel,11,1000,71547.49999995147
Exclusive_Parallel,12,1000,69550.89999996744
Exclusive_Parallel,13,1000,70037.69999982978
Exclusive_Parallel,14,1000,63087.70000009645
