Enforcer,Num_Properties,Input_Size,Avg_Time (microseconds)
Strict_Monolithic,2,1000,1047.224999999999
Strict_Monolithic,3,1000,1549.3449999999978
Strict_Monolithic,4,1000,2074.194999999995
Strict_Monolithic,5,1000,2750.005
Strict_Monolithic,6,1000,3237.2750000000015
Strict_Monolithic,7,1000,3968.305000000027
Strict_Monolithic,8,1000,8089.629999999913
Strict_Monolithic,9,1000,5146.329999999822
Strict_Monolithic,10,1000,9501.069999998886
Strict_Serial,2,1000,1323163.5350000034
Strict_Serial,3,1000,1308400.8799999964
Strict_Serial,4,1000,1350439.0250000085
Strict_Serial,5,1000,900478.8400000023
Strict_Serial,6,1000,712132.5950000028
Strict_Serial,7,1000,694074.4350000101
Strict_Serial,8,1000,694304.3750000044
Strict_Serial,9,1000,712574.9649999989
Strict_Serial,10,1000,750660.8800000009
Strict_Serial,11,1000,736078.3249999997
Strict_Serial,12,1000,712283.309999998
Strict_Serial,13,1000,690639.2049999994
Strict_Serial,14,1000,694768.4200000141
Strict_Parallel,2,1000,428.12499999058673
Strict_Parallel,3,1000,496.41999999607833
Strict_Parallel,4,1000,640.4350000025261
Strict_Parallel,5,1000,722.6899999977832
Strict_Parallel,6,1000,819.4200000048113
Strict_Parallel,7,1000,921.2650000023359
Strict_Parallel,8,1000,1021.4700000062749
Strict_Parallel,9,1000,1159.745000006751
Strict_Parallel,10,1000,1259.0750000072148
Strict_Parallel,11,1000,1420.945000003826
Strict_Parallel,12,1000,1475.9050000037632
Strict_Parallel,13,1000,1584.105000003433
Strict_Parallel,14,1000,1691.8299999986175
LE_Monolithic,2,1000,10566157.294999983
LE_Monolithic,3,1000,16043236.009999994
LE_Monolithic,4,1000,22215559.974999987
LE_Monolithic,5,1000,28366406.860000025
LE_Monolithic,6,1000,34060005.61000001
LE_Parallel,2,1000,1453523.4950000134
LE_Parallel,3,1000,2177589.7149999538
LE_Parallel,4,1000,2908710.929999984
LE_Parallel,5,1000,3627731.81
LE_Parallel,6,1000,4394934.810000041
Exclusive_Monolithic,2,1000,2915.75500007184
Exclusive_Monolithic,3,1000,3925.3250000228945
Exclusive_Monolithic,4,1000,4686.555000012049
Exclusive_Monolithic,5,1000,5405.220000011468
Exclusive_Monolithic,6,1000,6406.454999932976
Exclusive_Monolithic,7,1000,6961.764999982734
Exclusive_Monolithic,8,1000,7881.09500003884
Exclusive_Monolithic,9,1000,8885.95499998246
Exclusive_Monolithic,10,1000,9780.670000009195
Exclusive_Parallel,2,1000,3828.0899999335816
Exclusive_Parallel,3,1000,5665.619999945193
Exclusive_Parallel,4,1000,7587.829999988571
Exclusive_Parallel,5,1000,9405.569999944419
Exclusive_Parallel,6,1000,11296.250000077634
Exclusive_Parallel,7,1000,13324.239999951713
Exclusive_Parallel,8,1000,14965.585000027204
Exclusive_Parallel,9,1000,16944.799999987485
Exclusive_Parallel,10,1000,19042.91500004547
Exclusive_Parallel,11,1000,20586.309999976038
Exclusive_Parallel,12,1000,20890.040000017507
Exclusive_Parallel,13,1000,20537.785000010448
Exclusive_Parallel,14,1000,20499.439999935024
