Enforcer,Num_Properties,Input_Size,Avg_Time (microseconds)
Strict_Monolithic,2,1000,1019.5099999999993
Strict_Monolithic,3,1000,1533.965
Strict_Monolithic,4,1000,2119.6800000000007
Strict_Monolithic,5,1000,2686.409999999999
Strict_Monolithic,6,1000,3339.789999999998
Strict_Monolithic,7,1000,4016.6750000000247
Strict_Monolithic,8,1000,4699.630000000087
Strict_Monolithic,9,1000,5010.945000000787
Strict_Monolithic,10,1000,5883.020000007379
Strict_Serial,2,1000,709645.6649999995
Strict_Serial,3,1000,711531.4449999998
Strict_Serial,4,1000,714630.6900000041
Strict_Serial,5,1000,711394.9849999897
Strict_Serial,6,1000,706406.8349999957
Strict_Serial,7,1000,707301.6250000052
Strict_Serial,8,1000,713266.1299999997
Strict_Serial,9,1000,714595.275000005
Strict_Serial,10,1000,713837.6750000049
Strict_Serial,11,1000,714699.9599999959
Strict_Serial,12,1000,719115.1850000039
Strict_Serial,13,1000,719813.1499999989
Strict_Serial,14,1000,717186.6599999986
Strict_Parallel,2,1000,412.71999999992204
Strict_Parallel,3,1000,522.2749999973075
Strict_Parallel,4,1000,621.9699999974182
Strict_Parallel,5,1000,735.9899999926256
Strict_Parallel,6,1000,837.5099999994973
Strict_Parallel,7,1000,954.2350000032229
Strict_Parallel,8,1000,1069.9049999999488
Strict_Parallel,9,1000,1195.4099999940127
Strict_Parallel,10,1000,1287.1149999995168
Strict_Parallel,11,1000,1455.8149999942316
Strict_Parallel,12,1000,1501.9049999978051
Strict_Parallel,13,1000,1621.7350000005126
Strict_Parallel,14,1000,1792.5549999972645
LE_Monolithic,2,1000,10580332.664999995
LE_Monolithic,3,1000,15978745.134999996
LE_Monolithic,4,1000,22166662.874999978
LE_Monolithic,5,1000,28234510.62499998
LE_Monolithic,6,1000,34519451.89499999
LE_Monolithic,7,1000,40877488.2600001
LE_Parallel,2,1000,1525708.6799999797
LE_Parallel,3,1000,2264668.2799998643
LE_Parallel,4,1000,2981710.2850000085
LE_Parallel,5,1000,3752884.4850000725
LE_Parallel,6,1000,4483688.564999988
LE_Parallel,7,1000,5226446.48500002
Exclusive_Monolithic,2,1000,2880.9999999339198
Exclusive_Monolithic,3,1000,3694.414999995388
Exclusive_Monolithic,4,1000,4545.05000006975
Exclusive_Monolithic,5,1000,5340.404999992643
Exclusive_Monolithic,6,1000,6247.385000028771
Exclusive_Monolithic,7,1000,7059.5549999779905
Exclusive_Monolithic,8,1000,7980.274999954418
Exclusive_Monolithic,9,1000,8963.115000005928
Exclusive_Monolithic,10,1000,9768.285000041033
Exclusive_Parallel,2,1000,3804.3349999952625
Exclusive_Parallel,3,1000,5706.424999971205
Exclusive_Parallel,4,1000,7529.240000030768
Exclusive_Parallel,5,1000,9389.294999982667
Exclusive_Parallel,6,1000,11363.54500008565
Exclusive_Parallel,7,1000,13061.304999951062
Exclusive_Parallel,8,1000,14916.93000004943
Exclusive_Parallel,9,1000,16803.389999995496
Exclusive_Parallel,10,1000,18909.164999990935
Exclusive_Parallel,11,1000,21186.98499996299
Exclusive_Parallel,12,1000,20675.52500000147
Exclusive_Parallel,13,1000,20418.19500000202
Exclusive_Parallel,14,1000,20812.75000005007
