Enforcer,Num_Properties,Input_Size,Total_Time (microseconds)
Strict_Monolithic,2,100,285.59999999999695
Strict_Monolithic,3,100,333.2999999999947
Strict_Monolithic,4,100,365.79999999999944
Strict_Monolithic,5,100,477.90000000000333
Strict_Serial,2,100,742.9000000000046
Strict_Serial,3,100,624.8999999999977
Strict_Serial,4,100,611.2000000000062
Strict_Serial,5,100,573.5000000000045
Strict_Parallel,2,100,72.60000000000599
Strict_Parallel,3,100,86.49999999998937
Strict_Parallel,4,100,108.09999999999987
Strict_Parallel,5,100,133.70000000001437
LE_Monolithic,2,100,7649.700000000009
LE_Monolithic,3,100,12712.30000000001
LE_Monolithic,4,100,16900.200000000004
LE_Monolithic,5,100,17250.700000000008
LE_Parallel,2,100,298.8000000000157
LE_Parallel,3,100,334.3999999999847
LE_Parallel,4,100,409.5999999999822
LE_Parallel,5,100,491.7999999999867
Exclusive_Monolithic,2,100,483.49999999997004
Exclusive_Monolithic,3,100,564.7999999999764
Exclusive_Monolithic,4,100,736.7999999999819
Exclusive_Monolithic,5,100,809.9999999999774
Exclusive_Parallel,2,100,623.9000000000106
Exclusive_Parallel,3,100,883.5999999999844
Exclusive_Parallel,4,100,1192.599999999988
Exclusive_Parallel,5,100,1512.699999999978
